city_id,city,hotel_name,url,score,description,phone,website,latitude,longitude
1,Mont Saint Michel,Mercure Le Pré salé,https://www.booking.com/search.html?ss=Mercure+Le+Pré+salé,4,Route du Mont Saint-Michel,+33 2 33 60 14 18,http://www.hotelmercure-montsaintmichel.com,48.6142537,-1.5108723
1,Mont Saint Michel,Hôtel Vert,https://www.booking.com/search.html?ss=Hôtel+Vert,2,Route du Mont Saint-Michel,+33 2 33 60 29 40,http://www.hotelvert-montsaintmichel.com,48.6149102,-1.5093502
1,Mont Saint Michel,Hôtel - Restaurant La Mère Poulard,https://www.booking.com/search.html?ss=Hôtel+-+Restaurant+La+Mère+Poulard,3,Grande Rue - BP 18,+33233896868,http://www.merepoulard.com,48.6350826,-1.5109144
1,Mont Saint Michel,Ermitage,https://www.booking.com/search.html?ss=Ermitage,3,,+33233890202,https://www.terrasses-poulard.fr/,48.6356131,-1.5104074
1,Mont Saint Michel,Hôtel - Restaurant Du Guesclin,https://www.booking.com/search.html?ss=Hôtel+-+Restaurant+Du+Guesclin,2,Grande Rue,+33233601410,http://www.hotelduguesclin.com/,48.6356147,-1.5098978
1,Mont Saint Michel,Hôtel de la Digue,https://www.booking.com/search.html?ss=Hôtel+de+la+Digue,3,Barrage du Mont Saint-Michel,,,48.6168379,-1.5111111
1,Mont Saint Michel,Le Relais Saint-Michel,https://www.booking.com/search.html?ss=Le+Relais+Saint-Michel,4,Barrage du Mont Saint-Michel,,http://hotellerelaissaintmichel.com/,48.6177313,-1.5103823
1,Mont Saint Michel,Hôtel Restaurant Le Beauvoir,https://www.booking.com/search.html?ss=Hôtel+Restaurant+Le+Beauvoir,,,,,48.5977691,-1.5131776
1,Mont Saint Michel,Le Relais du Roy,https://www.booking.com/search.html?ss=Le+Relais+du+Roy,3,,,,48.6163087,-1.5110769
1,Mont Saint Michel,Résidence MMV Le Domaine du Mont,https://www.booking.com/search.html?ss=Résidence+MMV+Le+Domaine+du+Mont,,"Route de la Baie, L'Hôpital",+33 2 99 80 33 33,https://www.mmv.fr/residence-club-mont-saint-michel-le-domaine-du-mont,48.5938054,-1.5963356
